airport_code,completion_rate,average_eta,active_drivers,driver_cancellation_rate,queue_size,surge_multiplier,request_volume,timestamp
SFO,0.71,18,120,0.19,180,1.2,850,2026-09-18 09:00:00
SFO,0.74,17,135,0.17,165,1.2,820,2026-09-18 10:00:00
SFO,0.79,15,150,0.14,145,1.3,790,2026-09-18 11:00:00
SFO,0.86,12,175,0.09,110,1.3,720,2026-09-18 12:00:00
LAX,0.82,14,210,0.11,140,1.4,1100,2026-09-18 09:00:00
LAX,0.78,16,195,0.14,155,1.5,1150,2026-09-18 10:00:00
LAX,0.86,12,225,0.09,120,1.5,1050,2026-09-18 11:00:00
LAX,0.89,10,240,0.07,95,1.4,980,2026-09-18 12:00:00
JFK,0.76,16,160,0.15,150,1.3,900,2026-09-18 09:00:00
JFK,0.79,15,170,0.13,140,1.4,880,2026-09-18 10:00:00
JFK,0.84,12,190,0.10,115,1.4,820,2026-09-18 11:00:00
JFK,0.87,10,205,0.08,90,1.3,760,2026-09-18 12:00:00
